City,Country,Region,Carrier company,Customer-Supplier company,Companies Traders,Cargo type,Paper specific,Delivery type
Frohnleiten,Austria,Europe,CMA-CGM,RVP,Global Trading,5.11.00 - blister pack,Wastepaper,
Fusa,Norway,Europe,TLSC,SCR Recycling PL,Łukasz Lutoborski,5.10.00 - printed white envelope,Wastepaper,
Fusa,Norway,Europe,Willi Betz,Sinay,Global Trading,5.10.01 - mixed envelopes,Wastepaper,
Gaevle,Sweden,Europe,ONE,Smurfit,VIPA SWITZERLAND,5.09.00- carbonless copy paper (NCR),Metal,
Gdansk,Poland,Europe,SEAGO,Somlita,Edward Berjoza,UBC,Board,
Gdansk,Poland,Europe,Itella,Sonoco Alcore FI,Karolis Pupinis,Tissue,Board,
Gdansk / Gdynia,Poland,Europe,Formag,Sorepa,Nikolay Kudryashov,Fluting / Rolls,Board,
Gdansk,Poland,Europe,Elmetrans,SPK,VIPA ROTTERDAM,Testliner / Rolls,Wastepaper,
Gdansk / Gdynia,Poland,Europe,Trans A,Stena Recycling PL,Łukasz Lutoborski,1.11- Sorted graphic paper for deinking / #8 ISRI,Metal,
Gebze,Turkey,Europe,Grusped,Stena Recycling SW,Karolis Pupinis,Alu Litho Plates,Board,
Gebze,Turkey,Europe,Galaka,Stora Enso Varkaus,Karolis Pupinis,Newsprint / Rolls,Wastepaper,
Gemlik,Turkey,Europe,NS Logistic,SUEZ SW,Karolis Pupinis,1.05 – OCC,Wastepaper,
Genoa,Italy,Europe,GK Avtoinvest,Surpapel,Nikolay Kudryashov,2.01 - Newspapers,Wastepaper,
Genoa,Italy,Europe,Cosco,TEP,Global Trading,2.05 - Sorted office paper,Wastepaper,
Giershagen,Germany,Europe,Banasiak,TGM Environmental,VIPA UK,2.03.01- Lightly printed white shavings without glue,Wastepaper,
Giershagen,Germany,Europe,Woojin,Thai Cane,VIPA GREECE,2.04.01- Heavily printed white shavings without glue,Plastic,
Gliwice,Poland,Europe,Ardos,Trevigiano,VIPA ITALY,PP/PET,Wastepaper,
Gliwice,Poland,Europe,Gruber,UNDEFINED,N/A,3.12 - CEK,Wastepaper,
Goryachiy Kluch,Russia,Europe,Nurminen,Unibol,Gonzalo Garcia,2.03 - Lightly printed white shavings,Wastepaper,
Goryachiy Kluch,Russia,Russia,Baltreiss,UPM,Karolis Pupinis,2.04 - Heavily printed white shavings,Metal,
Gothenburg,Sweden,Russia,Alina,Utilization Paper,Global Trading,aluminium cans,Wastepaper,
Gothenburg,Sweden,Europe,Hegelmann,UVI SPB,Global Trading,1.05 – OCC / #11 ISRI,Wastepaper,
Guayaquil,Ecuador,Europe,Fixemer,VEKTOR,Global Trading,1.02 - Mixed papers and board (sorted),Board,
